strain	originating_lab	submitting_lab
A/Tokyo/34254/2014	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/92/2014	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Texas/88/2016	Texas Childrens Hospital	Centers for Disease Control and Prevention
A/Vietnam/627/2014	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/630/2014	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Philippines/6/2014	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza
A/Wakayama/121/2014	Wakayama Prefectural Research Center of Environment and Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/89/2014	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Wellington/81/2014	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Waikato/8/2014	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Kobe/63/2014	Kobe Institute of Health	National Institute of Infectious Diseases (NIID)
A/Vietnam/7/2014	Pasteur Institute of Ho Chi Minh City	WHO Collaborating Centre for Reference and Research on Influenza
A/Beijing/55312/2014		
A/Yunnan-Linxiang/11032/2014	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Yongkang/147/2016	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Tasmania/11/2014		
A/Ulaanbaatar/4846/2014	National Center for Communicable Diseases	National Institute of Infectious Diseases (NIID)
A/Tianjin-Hexi/195/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Sydney/82/2014	Westmead Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Wenshan/1805/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Sichuan-Gaoxin/1192/2014	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Vietnam/594/2014	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Wellington/94/2014	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Thailand/CU-H3656/2014		
A/SaudiArabia/8/2014		
A/Valdivia/72413/2015	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Talca/79797/2015	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Valparaiso/63203/2016	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Roraima/144238-IEC/2016	National Influenza Center	Centers for Disease Control and Prevention
A/Nevada/22/2016	Nevada State Health Laboratory	Centers for Disease Control and Prevention
A/Idaho/33/2016-egg	State of Idaho Bureau of Laboratories	Centers for Disease Control and Prevention
A/Idaho/33/2016	State of Idaho Bureau of Laboratories	Centers for Disease Control and Prevention
A/Victoria/504/2016	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/NewZealand/831/2016	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Wellington/4/2016	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Norway/3545/2016	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Townsville/51/2016		
A/Netherlands/2329/2017	National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)
A/Peru/27/2015	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Kenya/159/2018	CDC-Kenya	Centers for Disease Control and Prevention
A/Texas/71/2017	San Antonio Metropolitan Health	Centers for Disease Control and Prevention
A/Virginia/27/2017	Virginia Division of Consolidated Laboratories	Centers for Disease Control and Prevention
A/SantaCatarina/918/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention
A/Pernambuco/151608-IEC/2018	National Influenza Center	Centers for Disease Control and Prevention
A/Brazil/4139/2018	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Kansas/14/2017	Erasmus Medical Center	Erasmus Medical Center
A/Kansas/14/2017-egg	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
