strain	originating_lab	submitting_lab
A/RioGrandeDoNorte/134696-IEC/2015	National Influenza Center	Centers for Disease Control and Prevention
A/Norway/2567/2015	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Washington/77/2015	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/Wyoming/19/2015	Wyoming Public Health Laboratory	Centers for Disease Control and Prevention
A/Trinidad/187/2016	Caribbean Epidemiology Center	Centers for Disease Control and Prevention
A/Trinidad/2603/2015	Caribbean Epidemiology Center	Centers for Disease Control and Prevention
A/Vietnam/GS150761/2015	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vietnam/GS151050/2015	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vietnam/6038/2016	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/6058/2016	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/GS150287/2015	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Alaska/140/2015	Alaska State Virology Lab	Centers for Disease Control and Prevention
A/PuertoMontt/73064/2015	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/SaoPaulo/3-32002/2015	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/SouthAfrica/6131/2015	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Oman/5287/2015	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Bangladesh/914007/2015	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/9015/2015	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/SaudiArabia/78764/2015	Ministry of Health Riyadh	Crick Worldwide Influenza Centre
A/Parma/21/2016	University of Parma	Istituto Superiore di Sanità (ISS)
A/England/54380710/2015	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/Tunisia/12370/2015	Hopital Charles Nicolle	Crick Worldwide Influenza Centre
A/Shaanxi-Hanbin/1472/2014	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Stockholm/42/2015		Public Health Agency of Sweden
A/Vietnam/95/2015	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/106/2015	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Taiwan/596/2015	Center for Disease Control	National Institute of Infectious Diseases (NIID)
A/Valparaiso/50323/2015	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Valparaiso/42142/2015	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Toyama/107/2015	Toyama Institute of Health	National Institute of Infectious Diseases (NIID)
A/Taiwan/805/2015	Center for Disease Control	National Institute of Infectious Diseases (NIID)
A/Wakayama-C/105/2015	Wakayama City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Tokyo/15347/2015	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Shanghai/FX1665C2/2015	Shanghai Municipal Center for Disease Control and Prevention	
A/Washington/45/2015	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/Montana/28/2015	Montana Laboratory Services Bureau	Centers for Disease Control and Prevention
A/Alaska/240/2015	Alaska State Virology Lab	Centers for Disease Control and Prevention
A/Shanghai/FX1692C1/2015	Shanghai Municipal Center for Disease Control and Prevention	
A/Kazakhstan/53/2015	CSEE	Centers for Disease Control and Prevention
A/Vietnam/157/2015	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Yunnan-Wenshan/1893/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yunnan-Linxiang/1718/2016	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/NewYork/78/2016	New York State Department of Health	Centers for Disease Control and Prevention
A/England/53340242/2015	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/Sydney/40/2016	Westmead Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Sydney/20/2016	Westmead Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Austria/912642/2016	Department of Virology, Medical University Vienna	Medical University Vienna
A/Tsaralalana/2054/2016	Institut Pasteur de Madagascar	Crick Worldwide Influenza Centre
A/SriLanka/63/2015	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Kenya/23/2016		
A/Iceland/9348/2016	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Santiago/24151/2016	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Victoria/7/2016	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Fiji/31/2016	National Centre for Scientific Services for Virology  and Vector Borne Diseases	WHO Collaborating Centre for Reference and Research on Influenza
A/Bangladesh/5008/2015	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Ireland/3930/2015	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Vietnam/172/2015	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Seoul/1595/2015		
A/Yokohama/146/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Latvia/3-006129/2017	State Agency, Infectology Center of Latvia	Crick Worldwide Influenza Centre
A/Kawasaki/109/2016	Kawasaki City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Washington/16/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/Wuhan/279/2017		
A/Wuhan/458/2017		
A/Trang/87/2017	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Trang/51/2017	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Wisconsin/19/2017-egg	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Norway/4465/2016-egg	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Brisbane/318/2016	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Brisbane/321/2016	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/HongKong/2302/2016	Government Virus Unit	Centers for Disease Control and Prevention
A/HongKong/247/2017	Government Virus Unit	Centers for Disease Control and Prevention
A/Sapporo/22/2017	Sapporo City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/131/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yunnan-Xianggelila/1375/2017	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yunnan-Xianggelila/1708/2017	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Nanhu/1679/2017	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Taiwan/1096/2016	ADImmune Corporation	Centers for Disease Control and Prevention
A/NorthCarolina/4/2017	North Carolina State Laboratory of Public Health	Centers for Disease Control and Prevention
A/Zhejiang-Jiaojiang/1255/2017	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Victoria/1/2017	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Nebraska/2/2017	Nebraska Public Health Lab	Centers for Disease Control and Prevention
A/Zambia/305/2017	University Teaching Hospital, MoH Zambia	Crick Worldwide Influenza Centre
A/Luxembourg/18005177/2018	Laboratoire National de Santé	Laboratoire National de Santé
A/BosniaHerzegovina/269G/2019	University of Sarajevo	Crick Worldwide Influenza Centre
A/Peru/3817/2017	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Denmark/98/2017	Statens Serum Institute	Crick Worldwide Influenza Centre
A/Norway/279/2018	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Orenburg/31/2018	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Iceland/95/2018	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Tyumen/RII-2/2018	Russian Academy of Medical Sciences	Centers for Disease Control and Prevention
A/Moscow/149/2018	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/NewZealand/783/2017	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Uruguay/170/2017	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/Suriname/2354/2017	Institute for Biomedical Sciences	Centers for Disease Control and Prevention
A/Brazil/8164/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Netherlands/3521/2017	National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)
A/VinaDelMar/60406/2018	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Bretagne/1565/2017-egg		National Institute for Biological Standards and Control (NIBSC)
A/Bretagne/1413/2017		Institut Pasteur
A/Peru/806817/2017	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Switzerland/8060/2017	Erasmus Medical Center	Erasmus Medical Center
A/Switzerland/8060/2017-egg	St Jude Children's Research Hospital	St. Jude Children's Research Hospital
A/MinasGerais/39/2018	FUNED MG	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/PuertoRico/21/2018	Puerto Rico Department of Health	Centers for Disease Control and Prevention
A/Sydney/93/2018		
A/Brisbane/117/2018		
A/Arizona/37/2018	Arizona Department of Health Services	Centers for Disease Control and Prevention
A/Wisconsin/335/2017	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/NewMexico/14/2018	New Mexico Department of Health	Centers for Disease Control and Prevention
A/Paraguay/9159/2018	Central Laboratory of Public Health	Centers for Disease Control and Prevention
A/Navarra/2554/2017	Servicio de Microbiología Complejo Hospitalario de Navarra	Instituto de Salud Carlos III
A/Brisbane/36/2018		
A/Brisbane/1/2018		
A/Yokohama/111/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Ystad/3/2018		Public Health Agency of Sweden
A/Yokohama/14/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Victoria/901/2018		
A/Victoria/909/2018		
A/Victoria/908/2018		
A/SuratThani/83/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Yokohama/68/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/85/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Belgium/H0025/2018	Sciensano (Scientific Institute of Public Health)	Scientific Institute of Public Health (WIV-ISP)
A/Taiwan/80650/2018	ADImmune Corporation	Centers for Disease Control and Prevention
A/Brisbane/1/2018-egg		National Institute for Biological Standards and Control (NIBSC)
A/Victoria/2020/2018		
A/Yokohama/80/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Wakayama/62/2018	Wakayama Prefectural Research Center of Environment and Public Health	National Institute of Infectious Diseases (NIID)
A/Ireland/36874/2018	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Switzerland/8620/2018	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Loei/1152/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/AltoHospicio/37840/2018	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Yasothon/21/2019	Thai National Influenza Center	Thai National Influenza Center
A/Yokohama/100/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Wisconsin/4/2018	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Victoria/2012/2018		
A/Philippines/464/2018	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
A/Taiwan/81101/2018	ADImmune Corporation	Centers for Disease Control and Prevention
A/Taiwan/80749/2018	Center for Disease Control	National Institute of Infectious Diseases (NIID)
A/Rancagua/54068/2018	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Peru/769818/2018	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Bahrain/449/2018	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Miyazaki/72/2018	Miyazaki Prefectural Institute for Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/Latvia/12-005233/2018	State Agency, Infectology Center of Latvia	Crick Worldwide Influenza Centre
A/HongKong/656/2018	Government Virus Unit	Crick Worldwide Influenza Centre
A/Virginia/24/2018	Virginia Division of Consolidated Laboratories	Centers for Disease Control and Prevention
A/Tochigi/18136/2018	Tochigi Prefectural Institute of Public Health and Environmental Science	National Institute of Infectious Diseases (NIID)
A/Yamaguchi/28/2015	Yamaguchi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/Yunnan-Qilin/1902/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/HongKong/50/2016-egg	Crick Worldwide Influenza Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Alaska/232/2015-egg	Centers for Disease Control and Prevention	WHO Collaborating Centre for Reference and Research on Influenza
A/Wakayama-C/103/2015	Wakayama City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Singapore/INFTT-16-0083/2016	Ministry of Health, Singapore	Ministry of Health, Singapore
A/CzechRepublic/122/2016	National Institute of Public Health	Crick Worldwide Influenza Centre
A/Talca/14380/2016	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/SriLanka/61/2015	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Zhaoyang/11110/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yokohama/81/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/102/2015	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Brisbane/197/2015		
A/Tanger/333/2016	Institut National d'Hygiène	Crick Worldwide Influenza Centre
A/Yokohama/119/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Vietnam/6179/2016	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Lao/F2884/2016	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Vietnam/6021/2016	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Victoria/825/2016	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/Alaska/232/2015	Alaska State Virology Lab	Centers for Disease Control and Prevention
A/Finland/551/2015	NordLab Oulu	Finnish Institute for Health and Welfare, THL
A/Wisconsin/87/2015	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Ontario/RV2414/2015	National Microbiology Laboratory, Public Health Agency of Canada (PHAC)	Centers for Disease Control and Prevention
A/Canberra/7/2016	Canberra Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Vladivostok/2/2016	Ivanovsky Research Institute of Virology RAMS	Crick Worldwide Influenza Centre
A/Yokohama/4/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/NorthCarolina/4/2016	North Carolina State Laboratory of Public Health	Centers for Disease Control and Prevention
A/Tianjin-Nankai/1405/2016	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Serbia/2420/2017	Institute of Public Health	Crick Worldwide Influenza Centre
A/Poprad/200/2017	National Public Health Institute of Slovakia	Crick Worldwide Influenza Centre
A/Parma/60/2016	University of Parma	Istituto Superiore di Sanità (ISS)
A/Belgium/G0736/2016	Scientific Institute of Public Health	Crick Worldwide Influenza Centre
A/Sichuan-Jinjiang/8156/2016	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/HongKong/2391/2016	Government Virus Unit	Centers for Disease Control and Prevention
A/Taiwan/960/2016	ADImmune Corporation	Centers for Disease Control and Prevention
A/Taiwan/921/2016	ADImmune Corporation	Centers for Disease Control and Prevention
A/Taiwan/794/2016	ADImmune Corporation	Centers for Disease Control and Prevention
A/Tochigi/16153/2016	Tochigi Prefectural Institute of Public Health and Environmental Science	National Institute of Infectious Diseases (NIID)
A/HongKong/1706/2016	Government Virus Unit	Centers for Disease Control and Prevention
A/Colombia/1408/2016	Instituto Nacional de Salud de Columbia	Centers for Disease Control and Prevention
A/Victoria/623/2016	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Ecuador/1614/2017	INSPI	Centers for Disease Control and Prevention
A/SriLanka/36/2016	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/5/2017	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/45/2016	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/49/2016	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Bangladesh/5010/2016	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/429/2016	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Singapore/TT1329/2016		Ministry of Health, Singapore
A/SaudiArabia/193825/2016	Ministry of Health Riyadh	Crick Worldwide Influenza Centre
A/Arizona/67/2016	Arizona Department of Health Services	Centers for Disease Control and Prevention
A/Singapore/Infimh-16-0019/2016	Ministry of Health, Singapore	WHO Collaborating Centre for Reference and Research on Influenza
A/Singapore/Infimh-16-0019/2016-egg	St Jude Children's Research Hospital	St. Jude Children's Research Hospital
A/Tokyo/160298/2016	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Wisconsin/84/2016	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Zambia/2-00087/2017	University Teaching Hospital, MoH Zambia	Crick Worldwide Influenza Centre
A/Guyane/601/2016	National Influenza Center French Guiana and French Indies	Centers for Disease Control and Prevention
A/Bangladesh/3001/2016	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Washington/106/2016	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/Delaware/32/2016	Delaware Public Health Lab	Centers for Disease Control and Prevention
A/Singapore/INFTT-16-0297/2016	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Tehran/50179/2016		
A/Varamin/49785/2016		
A/Singapore/INFKK-16-0294/2016	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Newcastle/30/2016	John Hunter Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/SouthAustralia/135/2016	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Netherlands/2413/2016	Erasmus Medical Center	Erasmus Medical Center
A/Norway/3806/2016-egg	Crick Worldwide Influenza Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Oman/4726/2016	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Maramures/206714/2017	Cantacuzino Institute	Crick Worldwide Influenza Centre
A/Kyiv/80/2017	Institute of Epidemiology and Infectious Diseases AMS of Ukraine	Centers for Disease Control and Prevention
A/Yokohama/124/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/FrancheComte/2323/2016	Institut Pasteur	Crick Worldwide Influenza Centre
A/Oregon/19/2016	Oregon Public Health Laboratory	Centers for Disease Control and Prevention
A/SouthAfrica/R05675/2017	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Netherlands/3793/2016	National Institute for Public Health and the Environment (RIVM)	Crick Worldwide Influenza Centre
A/Sturovo/228/2017	National Public Health Institute of Slovakia	Crick Worldwide Influenza Centre
A/England/71000565/2017	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/StPetersburg/311/2017	Russian Academy of Medical Sciences	Centers for Disease Control and Prevention
A/Santiago/56159/2017	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/StPetersburg/274/2017	WHO National Influenza Centre Russian Federation	Crick Worldwide Influenza Centre
A/Visby/5/2017		Public Health Agency of Sweden
A/Peru/6917/2017	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Uruguay/43/2017	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/Greece/4/2017-egg	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Congo/553/2017	INRB Service de Virologie	Centers for Disease Control and Prevention
A/Congo/7/2018	INRB Service de Virologie	Centers for Disease Control and Prevention
A/Kenya/115/2016	CDC-Kenya	Centers for Disease Control and Prevention
A/Antananarivo/1067/2016-egg	Centers for Disease Control and Prevention	WHO Collaborating Centre for Reference and Research on Influenza
A/Antananarivo/1067/2016	Institut Pasteur de Madagascar	Centers for Disease Control and Prevention
A/NosyBe/1060/2016	Institut Pasteur de Madagascar	Centers for Disease Control and Prevention
A/Oman/5466/2016	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/SouthAfrica/K037-003-038/2016		
A/Yokohama/170/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Kanagawa/IC1651/2017	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
A/Parana/99/2017	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention
A/Switzerland/190796/2016	Swiss National Reference Centre for Influenza	Swiss National Reference Centre for Influenza
A/Colombia/5238/2017	Instituto Nacional de Salud de Columbia	Centers for Disease Control and Prevention
A/Uppsala/2/2017		Public Health Agency of Sweden
A/Yamaguchi/34/2016	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Oman/5468/2016	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/India/8359/2016	National Institute of Virology	Centers for Disease Control and Prevention
A/Bahrain/786/2016	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Florida/23/2017	Florida Department of Health-Jacksonville	Centers for Disease Control and Prevention
A/Texas/68/2017	Dallas County Health and Human Services	Centers for Disease Control and Prevention
A/SaudiArabia/VRG-04/2017		
A/India/9930/2017	National Institute of Virology	Centers for Disease Control and Prevention
A/Oman/5186/2017	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Pakistan/178/2017	National Institute of Health	Centers for Disease Control and Prevention
A/Texas/290/2017	Texas Department of State Health Services-Laboratory Services	Centers for Disease Control and Prevention
A/SriLanka/94/2017	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Nagano/2731/2017	Nagano Environmental Conservasion Research Institute	National Institute of Infectious Diseases (NIID)
A/Georgia/714/2017	National Center for Disease Control and Public Health, Georgia	National Center for Disease Control and Public Health, Georgia
A/Philippines/758/2017	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
A/Yokohama/145/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/HongKong/4829/2017	Government Virus Unit	Centers for Disease Control and Prevention
A/Maldives/1068/2017	Ministry of Health	Centers for Disease Control and Prevention
A/Victoria/2005/2018		
A/Bangladesh/1371/2018	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Bangladesh/723/2018	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Zhejiang-Nanhu/1745/2017	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Ohio/26/2018	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention
A/Philippines/189/2018	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
A/AbuDhabi/134/2018	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Madagascar/1123/2018	Institut Pasteur de Madagascar	Centers for Disease Control and Prevention
A/Sydney/22/2018		
A/HongKong/2060/2018	Government Virus Unit	Centers for Disease Control and Prevention
A/Victoria/9/2019	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Wisconsin/95/2018	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Yokohama/95/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Hungary/28/2019	Central Veterinary Institute Budapest	Crick Worldwide Influenza Centre
A/Victoria/899/2017	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/Bangladesh/2097/2017	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Yokosuka/26/2017	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Wellington/1/2018	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/653/2017-egg	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/NewZealand/2391/2017	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Victoria/653/2017	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Vietnam/Lisn131/2017	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Tokyo/17185/2017	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/HongKong/2286/2017		
A/HongKong/2286/2017-egg	St Jude Children's Research Hospital	St. Jude Children's Research Hospital
A/Afghanistan/616/2017	National Public Health Laboratory	Centers for Disease Control and Prevention
A/Afghanistan/833/2017	National Public Health Laboratory	Centers for Disease Control and Prevention
A/Bangladesh/2171/2017	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Netherlands/744/2018	Erasmus Medical Center	Erasmus Medical Center
A/Lithuania/MB10772/2018	Lithuanian AIDS Center Laboratory	Crick Worldwide Influenza Centre
A/Netherlands/741/2018	Erasmus Medical Center	Erasmus Medical Center
A/Oman/5101/2017	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/India/4658/2018	National Institute of Virology	Centers for Disease Control and Prevention
A/India/4667/2018	National Institute of Virology	Centers for Disease Control and Prevention
A/Wisconsin/327/2017	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Maldives/1471/2017	Ministry of Health	Centers for Disease Control and Prevention
A/Oman/943/2018	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Norway/2678/2018	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Lebanon/661/2018	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Centers for Disease Control and Prevention
A/Lebanon/560/2018	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Centers for Disease Control and Prevention
A/Cambodia/1054/2017	National Public Health Laboratory	Centers for Disease Control and Prevention
A/Trang/2627/2017	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Vietnam/GHS180004/2018	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vladimir/191/2018	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Sweden/37/2018		Public Health Agency of Sweden
A/Yokohama/232/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/181/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/NewCaledonia/8/2018	Institut Pasteur New Caledonia	WHO Collaborating Centre for Reference and Research on Influenza
A/Townsville/18/2017	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Lao/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Nonthaburi/182/2017	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
